MPI_reduce 8 5242880
Run 67 time 0.006566048
Run 68 time 0.007498026
Run 69 time 0.006501913
Run 70 time 0.006391048
Run 71 time 0.006312847
Run 72 time 0.006520033
Run 73 time 0.007421017
Run 74 time 0.006562948
Run 75 time 0.007375956
Run 76 time 0.006730080
Run 77 time 0.006443977
Run 78 time 0.006417990
Run 79 time 0.006538868
Run 80 time 0.006229162
Run 81 time 0.006118774
Run 82 time 0.006802082
Run 83 time 0.006169796
Run 84 time 0.006525040
Run 85 time 0.006533861
Run 86 time 0.006378889
Run 87 time 0.008567095
Run 88 time 0.006041050
Run 89 time 0.006299973
Run 90 time 0.006439924
Run 91 time 0.006286144
Run 92 time 0.006443977
Run 93 time 0.006285906
Run 94 time 0.006197929
Run 95 time 0.006823063
Run 96 time 0.006279945
Run 97 time 0.006334066
Run 98 time 0.006489038
Run 99 time 0.006162882
Run 100 time 0.007414103
2TreeSanders_reduce2 8 5242880 33
Run 1 time 0.037732840
Run 2 time 0.006203890
Run 3 time 0.006139994
Run 4 time 0.006072998
Run 5 time 0.006109953
Run 6 time 0.006000996
Run 7 time 0.006076097
Run 8 time 0.005928993
Run 9 time 0.006078959
Run 10 time 0.006108999
Run 11 time 0.006079912
Run 12 time 0.006083965
Run 13 time 0.006252050
Run 14 time 0.006006002
Run 15 time 0.006136179
Run 16 time 0.006119013
Run 17 time 0.006019831
Run 18 time 0.005979061
Run 19 time 0.006108999
Run 20 time 0.005971909
Run 21 time 0.006004810
Run 22 time 0.006090879
Run 23 time 0.006200075
Run 24 time 0.005990982
Run 25 time 0.006052971
Run 26 time 0.006021976
Run 27 time 0.006045103
Run 28 time 0.006016970
Run 29 time 0.005977869
Run 30 time 0.006034851
Run 31 time 0.006363869
Run 32 time 0.006074905
Run 33 time 0.006136179
Run 34 time 0.006000042
Run 35 time 0.005990028
Run 36 time 0.006146908
Run 37 time 0.006361961
Run 38 time 0.006035805
Run 39 time 0.006153107
Run 40 time 0.006019115
Run 41 time 0.006093979
Run 42 time 0.006101131
Run 43 time 0.005841970
Run 44 time 0.006489038
Run 45 time 0.005702972
Run 46 time 0.006335020
Run 47 time 0.006126165
Run 48 time 0.006006002
Run 49 time 0.006056070
Run 50 time 0.006049156
Run 51 time 0.006091833
Run 52 time 0.006053925
Run 53 time 0.006088972
Run 54 time 0.005996943
Run 55 time 0.006049156
Run 56 time 0.006085873
Run 57 time 0.006131887
Run 58 time 0.006007195
Run 59 time 0.006087065
Run 60 time 0.006047010
