MPI_allreduce 8 524288
Run 35 time 0.000373840
Run 36 time 0.000397921
Run 37 time 0.000396967
Run 38 time 0.000398874
Run 39 time 0.000372171
Run 40 time 0.000372887
Run 41 time 0.000398874
Run 42 time 0.000400066
Run 43 time 0.000403881
Run 44 time 0.000401020
Run 45 time 0.000398159
Run 46 time 0.000374079
Run 47 time 0.000388861
Run 48 time 0.000399113
Run 49 time 0.000401020
Run 50 time 0.000369072
Run 51 time 0.000372887
Run 52 time 0.000365019
Run 53 time 0.000388145
Run 54 time 0.000401020
Run 55 time 0.000383139
Run 56 time 0.000399113
Run 57 time 0.000412941
Run 58 time 0.000385046
Run 59 time 0.000368118
Run 60 time 0.000401974
Run 61 time 0.000383854
Run 62 time 0.000380039
Run 63 time 0.000385046
Run 64 time 0.000385046
Run 65 time 0.000406027
Run 66 time 0.000371933
Run 67 time 0.000427961
Run 68 time 0.000368118
Run 69 time 0.000370026
Run 70 time 0.000424147
Run 71 time 0.000364065
Run 72 time 0.000399113
Run 73 time 0.000373840
Run 74 time 0.000400782
Run 75 time 0.000380039
Run 76 time 0.000401020
Run 77 time 0.000401020
Run 78 time 0.000397921
Run 79 time 0.000389099
Run 80 time 0.000399113
Run 81 time 0.000381947
Run 82 time 0.000401020
Run 83 time 0.000565052
Run 84 time 0.000519991
Run 85 time 0.000440121
Run 86 time 0.000465870
Run 87 time 0.000404119
Run 88 time 0.000493050
Run 89 time 0.000380039
Run 90 time 0.000371933
Run 91 time 0.000391960
Run 92 time 0.000386000
Run 93 time 0.000365973
Run 94 time 0.000399828
Run 95 time 0.000379086
Run 96 time 0.000382900
Run 97 time 0.000397921
Run 98 time 0.000406981
Run 99 time 0.000374079
Run 100 time 0.000371218
2TreeSanders_allreduce 8 524288 2
Run 1 time 0.008391857
Run 2 time 0.000528097
Run 3 time 0.000555038
Run 4 time 0.000567913
Run 5 time 0.000557899
Run 6 time 0.000617027
Run 7 time 0.000667095
Run 8 time 0.000624895
Run 9 time 0.000758886
Run 10 time 0.000623941
Run 11 time 0.000656128
Run 12 time 0.000601053
Run 13 time 0.000602961
Run 14 time 0.000670910
Run 15 time 0.000586987
