MPI_BCAST 8
bcast 8 1
Run 85 time 0.000481844
Run 86 time 0.000482082
Run 87 time 0.000480175
Run 88 time 0.000483036
Run 89 time 0.000480175
Run 90 time 0.000479221
Run 91 time 0.000482082
Run 92 time 0.000488043
Run 93 time 0.000483990
Run 94 time 0.000478983
Run 95 time 0.000481129
Run 96 time 0.000478983
Run 97 time 0.000479221
Run 98 time 0.000478983
Run 99 time 0.000482082
Run 100 time 0.000478983
2TreeBdcast 8 256 5
Tree Construction time = 0.000037909
Tree Coloring time = 0.000001192
Run 1 time 0.016062975
Run 2 time 0.000014067
Run 3 time 0.000013113
Run 4 time 0.000012159
Run 5 time 0.000012159
Run 6 time 0.000017166
Run 7 time 0.000012159
Run 8 time 0.000013113
Run 9 time 0.000012159
Run 10 time 0.000013113
Run 11 time 0.000012159
Run 12 time 0.000023842
Run 13 time 0.000012159
Run 14 time 0.000011921
Run 15 time 0.000011921
Run 16 time 0.000017881
Run 17 time 0.000013113
Run 18 time 0.000011206
Run 19 time 0.000012875
Run 20 time 0.000011921
Run 21 time 0.000011921
Run 22 time 0.000011921
Run 23 time 0.000011921
Run 24 time 0.000012159
Run 25 time 0.000021935
Run 26 time 0.000023842
Run 27 time 0.000011921
Run 28 time 0.000011206
Run 29 time 0.000012159
Run 30 time 0.000012159
Run 31 time 0.000011921
Run 32 time 0.000011921
Run 33 time 0.000015020
Run 34 time 0.000013113
Run 35 time 0.000012159
Run 36 time 0.000012159
Run 37 time 0.000015020
Run 38 time 0.000011921
Run 39 time 0.000011921
Run 40 time 0.000012159
Run 41 time 0.000014067
Run 42 time 0.000015020
Run 43 time 0.000012159
Run 44 time 0.000013113
Run 45 time 0.000011921
Run 46 time 0.000013113
Run 47 time 0.000012159
Run 48 time 0.000012159
Run 49 time 0.000012159
Run 50 time 0.000011921
Run 51 time 0.000012159
Run 52 time 0.000012159
Run 53 time 0.000011921
Run 54 time 0.000010967
Run 55 time 0.000011921
Run 56 time 0.000011921
Run 57 time 0.000012159
Run 58 time 0.000012159
Run 59 time 0.000012159
Run 60 time 0.000011206
Run 61 time 0.000011921
Run 62 time 0.000012159
Run 63 time 0.000012875
Run 64 time 0.000011921
Run 65 time 0.000011921
Run 66 time 0.000012159
Run 67 time 0.000011921
Run 68 time 0.000012159
Run 69 time 0.000012159
Run 70 time 0.000012159
Run 71 time 0.000012159
Run 72 time 0.000012875
Run 73 time 0.000012159
Run 74 time 0.000012159
Run 75 time 0.000012875
Run 76 time 0.000010967
Run 77 time 0.000011921
Run 78 time 0.000012159
Run 79 time 0.000012159
Run 80 time 0.000045061
Run 81 time 0.000011921
Run 82 time 0.000011921
Run 83 time 0.000012875
Run 84 time 0.000011921
Run 85 time 0.000012159
Run 86 time 0.000030041
Run 87 time 0.000013113
Run 88 time 0.000012159
Run 89 time 0.000013113
Run 90 time 0.000012159
Run 91 time 0.000411987
Run 92 time 0.000012159
Run 93 time 0.000023127
Run 94 time 0.000012159
Run 95 time 0.000012159
Run 96 time 0.000011921
Run 97 time 0.000027180
Run 98 time 0.000025034
Run 99 time 0.000012159
